job_id,company_id,company_name,job_title,job_url,source,location_text,remote_policy,nyc_relevance,posted_date,job_type,salary_range,equity_range,min_experience,skills,seniority,role_family,operator_need_tags,ai_surface_tags,leadership_flag,operator_adjacent,classification_method,classification_confidence,manual_review_flag,collected_at
waas-93481,yc-27925,222,Technical Support Lead,https://www.workatastartup.com/jobs/93481,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$65K - $100K,,Any (new grads ok),,lead,gtm_sales_cs,,,,0,keyword,0.9,0,2026-07-08T02:43:34Z
waas-80893,yc-27925,222,iOS Engineer / Design Engineer,https://www.workatastartup.com/jobs/80893,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$140K - $270K,0.25% - 0.65%,Any (new grads ok),Swift|Figma,mid,design,,,,0,keyword,0.9,0,2026-07-08T02:43:34Z
waas-97464,yc-22579,Abacum,Strategic Initiatives Lead,https://www.workatastartup.com/jobs/97464,workatastartup,New York City / Remote (US),hybrid,nyc_optional,,Full-time,,,5+ years,,lead,founder_operator_generalist,reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-96850,yc-22579,Abacum,Revenue Operations Lead - Post Sales,https://www.workatastartup.com/jobs/96850,workatastartup,New York City / Barcelona,onsite,nyc_required,,Full-time,$130K - $160K,,3+ years,,lead,gtm_sales_cs,model_eval_observability|gtm_analytics|reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-96849,yc-22579,Abacum,Growth Strategist Lead,https://www.workatastartup.com/jobs/96849,workatastartup,New York City / Remote (US),hybrid,nyc_optional,,Full-time,,,5+ years,,lead,gtm_sales_cs,product_analytics|reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-96848,yc-22579,Abacum,Senior Demand Generation Manager,https://www.workatastartup.com/jobs/96848,workatastartup,New York City / Remote (US),hybrid,nyc_optional,,Full-time,,,5+ years,,senior,gtm_sales_cs,product_analytics|reporting_bi,voice_audio|health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-96847,yc-22579,Abacum,Performance Marketing Manager (Paid),https://www.workatastartup.com/jobs/96847,workatastartup,New York City / Barcelona / Remote (US),hybrid,nyc_optional,,Full-time,,,5+ years,,mid,gtm_sales_cs,product_analytics|gtm_analytics|reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-96846,yc-22579,Abacum,Finance Expert in Residence,https://www.workatastartup.com/jobs/96846,workatastartup,New York City / Remote (US),hybrid,nyc_optional,,Full-time,,,Any (new grads ok),,mid,ops_finance_people,infra_platform|reporting_bi,voice_audio|health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-96841,yc-22579,Abacum,Senior Partner Manager,https://www.workatastartup.com/jobs/96841,workatastartup,Remote (US),remote,remote_us,,Full-time,,,5+ years,,senior,gtm_sales_cs,reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-96840,yc-22579,Abacum,"Senior Partner Manager, EMEA",https://www.workatastartup.com/jobs/96840,workatastartup,Remote (US),remote,remote_us,,Full-time,,,5+ years,,lead,gtm_sales_cs,reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-96839,yc-22579,Abacum,Head of Demand Generation,https://www.workatastartup.com/jobs/96839,workatastartup,New York City / Toronto / Remote (US),hybrid,nyc_optional,,Full-time,$200K - $215K,,5+ years,,head,gtm_sales_cs,product_analytics|gtm_analytics|reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-96838,yc-22579,Abacum,Content & Marketing Operations Specialist,https://www.workatastartup.com/jobs/96838,workatastartup,New York City / Remote (US),hybrid,nyc_optional,,Full-time,,,Any (new grads ok),,mid,gtm_sales_cs,product_analytics|gtm_analytics|reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-96837,yc-22579,Abacum,Business Development Representative (BDR),https://www.workatastartup.com/jobs/96837,workatastartup,Toronto / Remote (US),remote,remote_us,,Full-time,,,Any (new grads ok),,mid,gtm_sales_cs,gtm_analytics|reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-89136,yc-22579,Abacum,Lead Product Marketing Manager,https://www.workatastartup.com/jobs/89136,workatastartup,New York City / Remote (US),hybrid,nyc_optional,,Full-time,$140K - $180K,,5+ years,,lead,gtm_sales_cs,customer_implementation|reporting_bi,health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:46Z
waas-83758,yc-25696,Agency,Sales Development Representative / Business Development Rep,https://www.workatastartup.com/jobs/83758,workatastartup,"San Francisco, CA, US",onsite,not_nyc,,Full-time,$65K - $75K,,Any (new grads ok),,mid,gtm_sales_cs,gtm_analytics,,,0,keyword,0.9,0,2026-07-08T02:43:47Z
waas-83443,yc-22834,Alinea,Product Engineer (iOS),https://www.workatastartup.com/jobs/83443,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$155K - $185K,,3+ years,Amazon Web Services (AWS)|Node.js|Swift|TypeScript,mid,product_engineering,infra_platform,finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:49Z
waas-94724,yc-30362,Ambral,Senior Founding Engineer,https://www.workatastartup.com/jobs/94724,workatastartup,New York,onsite,nyc_required,,Full-time,$185K - $245K,2.00% - 4.00%,5+ years,,founding,product_engineering,model_eval_observability|agent_workflows|infra_platform,agents|llm_applications|voice_audio|health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:51Z
waas-85530,yc-24194,Aqua,Customer Success Associate,https://www.workatastartup.com/jobs/85530,workatastartup,"New York, NY, US / Philadelphia, PA, US",onsite,nyc_required,,Full-time,$65K - $80K,,1+ years,,junior,gtm_sales_cs,customer_implementation|reporting_bi,llm_applications|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:57Z
waas-83160,yc-24194,Aqua,Founding Engineer,https://www.workatastartup.com/jobs/83160,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $160K,,3+ years,Amazon Web Services (AWS)|PostgreSQL|Python|Distributed Systems|Software Architecture|Microservices,founding,product_engineering,data_pipeline|agent_workflows|security_compliance|infra_platform,agents|llm_applications|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:57Z
waas-89033,yc-24194,Aqua,Product Manager,https://www.workatastartup.com/jobs/89033,workatastartup,"New York, NY, US / Philadelphia, PA, US",onsite,nyc_required,,Full-time,$100K - $160K,,6+ years,,mid,product_management,agent_workflows|customer_implementation|infra_platform,agents|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:57Z
waas-83746,yc-24194,Aqua,GTM Associate,https://www.workatastartup.com/jobs/83746,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $120K,,1+ years,,junior,gtm_sales_cs,product_analytics|gtm_analytics,finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:57Z
waas-81922,yc-24194,Aqua,Founding Account Executive—Asset Manager/Sponsor Channel,https://www.workatastartup.com/jobs/81922,workatastartup,"New York, NY, US / Philadelphia, PA, US",onsite,nyc_required,,Full-time,$300K - $350K,,6+ years,,founding,gtm_sales_cs,security_compliance|reporting_bi,finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:57Z
waas-81918,yc-24194,Aqua,Founding Account Executive—Distribution Channels,https://www.workatastartup.com/jobs/81918,workatastartup,"New York, NY, US / Philadelphia, PA, US",onsite,nyc_required,,Full-time,$350K - $400K,,6+ years,,founding,gtm_sales_cs,security_compliance,finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:57Z
waas-83907,yc-24194,Aqua,Founding Design Engineer,https://www.workatastartup.com/jobs/83907,workatastartup,"New York, NY, US / Philadelphia, PA, US",onsite,nyc_required,,Full-time,$100K - $180K,,3+ years,,founding,design,,voice_audio|finance_ai,,0,keyword,0.9,0,2026-07-08T02:43:57Z
waas-76155,yc-30354,Artifact,Software Engineer,https://www.workatastartup.com/jobs/76155,workatastartup,"Los Angeles, CA, US",onsite,not_nyc,,Full-time,$95K - $140K,0.10% - 0.70%,1+ years,Python|React|TypeScript,mid,product_engineering,,agents|robotics,,0,keyword,0.6,0,2026-07-08T02:44:01Z
